gen,fitness,fitness_std,fitness_max,fitness_min
0,0.7149823650034175,0.009475469284677103,0.7308247892458419,0.6941171109592161
1,0.7202640692640692,0.007009923444846848,0.7308247892458419,0.6988790157211209
2,0.7260413761676919,0.004498459551869033,0.7308247892458419,0.711287309182046
3,0.7286917293233084,0.0018075702879600374,0.7313009797220325,0.7222533606744134
4,0.7300053770790613,0.0011663434642245893,0.7327295511506039,0.7274914559125086
5,0.7307385281385282,0.000945798307670158,0.7327295511506039,0.727967646388699
6,0.731462428799271,0.0009209417554451814,0.7327295511506039,0.7303463203463204
7,0.7318624287992711,0.000940897483617812,0.7327295511506039,0.7308247892458419
8,0.7323103212576899,0.0007889440114655658,0.7327295511506039,0.7308247892458419
9,0.7327295055821373,3.189792663560453e-07,0.7327295511506039,0.7327272727272728
10,0.7322530416951472,0.0033352407143975816,0.7327295511506039,0.7089063568010936
11,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
12,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
13,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
14,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
15,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
16,0.7326533606744136,0.0005333333333333346,0.7327295511506039,0.7289200273410801
17,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
18,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
19,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
20,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
21,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
22,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
23,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
24,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
25,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
26,0.732729551150604,1.1102230246251565e-16,0.7327295511506039,0.7327295511506039
